1,1,Республика Адыгея,Майкоп,Южный
2,2,Республика Башкортостан,Уфа,Приволжский
3,3,Республика Бурятия,Улан-Удэ,Сибирский
4,4,Республика Алтай,Горно-Алтайск,Сибирский
5,5,Республика Дагестан,Махачкала,Северо-Кавказский
6,6,Республика Ингушетия,Магас,Северо-Кавказский
7,7,Кабардино-Балкарская Республика,Нальчик,Северо-Кавказский
8,8,Республика Калмыкия,Элиста,Южный
9,9,Республика Карачаево-Черкесия,Черкесск,Северо-Кавказский
10,10,Республика Карелия,Петрозаводск,Северо-Западный
11,11,Республика Коми,Сыктывкар,Северо-Западный
12,12,Республика Марий Эл,Йошкар-Ола,Приволжский
13,13,Республика Мордовия,Саранск,Приволжский
14,14,Республика Саха (Якутия),Якутск,Дальневосточный
15,15,Республика Северная Осетия-Алания,Владикавказ,Северо-Кавказский
16,16,Республика Татарстан,Казань,Приволжский
17,17,Республика Тыва,Кызыл,Сибирский
18,18,Удмуртская Республика,Ижевск,Приволжский
19,19,Республика Хакасия,Абакан,Сибирский
20,20,Чеченская республика,Грозный,(новый номер - 95)
21,21,Чувашская Республика,Чебоксары,Приволжский
22,22,Алтайский край,Барнаул,Сибирский
23,23,Краснодарский край,Краснодар,Южный
24,24,Красноярский край,Красноярск,Сибирский
25,25,Приморский край,Владивосток,Дальневосточный
26,26,Ставропольский край,Ставрополь,Северо-Кавказский
27,27,Хабаровский край,Хабаровск,Дальневосточный
28,28,Амурская область,Благовещенск,Дальневосточный
29,29,Архангельская область,Архангельск,Северо-Западный
30,30,Астраханская область,Астрахань,Южный
31,31,Белгородская область,Белгород,Центральный
32,32,Брянская область,Брянск,Центральный
33,33,Владимирская область,Владимир,Центральный
34,34,Волгоградская область,Волгоград,Южный
35,35,Вологодская область,Вологда,Северо-Западный
36,36,Воронежская область,Воронеж,Центральный
37,37,Ивановская область,Иваново,Центральный
38,38,Иркутская область,Иркутск,Сибирский
39,39,Калининградская область,Калининград,Северо-Западный
40,40,Калужская область,Калуга,Центральный
41,41,Камчатский край,Петропавловск-Камчатский,Дальневосточный
42,41,Камчатская область,Петропавловск-Камчатский,(вошла в Камчатский край)
43,42,Кемеровская область,Кемерово,Сибирский
44,43,Кировская область,Киров,Приволжский
45,44,Костромская область,Кострома,Центральный
46,45,Курганская область,Курган,Уральский
47,46,Курская область,Курск,Центральный
48,47,Ленинградская область,Санкт-Петербург,Северо-Западный
49,48,Липецкая область,Липецк,Центральный
50,49,Магаданская область,Магадан,Дальневосточный
51,50,Московская область,Москва,Центральный
52,51,Мурманская область,Мурманск,Северо-Западный
53,52,Нижегородская область,Нижний Новгород,Приволжский
54,53,Новгородская область,Великий Новгород,Северо-Западный
55,54,Новосибирская область,Новосибирск,Сибирский
56,55,Омская область,Омск,Сибирский
57,56,Оренбургская область,Оренбург,Приволжский
58,57,Орловская область,Орел,Центральный
59,58,Пензенская область,Пенза,Приволжский
60,59,Пермский край,Пермь,Приволжский
61,59,Пермская область,Пермь,(вошла в Пермский край)
62,60,Псковская область,Псков,Северо-Западный
63,61,Ростовская область,Ростов-на-Дону,Южный
64,62,Рязанская область,Рязань,Центральный
65,63,Самарская область,Самара,Приволжский
66,64,Саратовская область,Саратов,Приволжский
67,65,Сахалинская область,Южно-Сахалинск,Дальневосточный
68,66,Свердловская область,Екатеринбург,Уральский
69,67,Смоленская область,Смоленск,Центральный
70,68,Тамбовская область,Тамбов,Центральный
71,69,Тверская область,Тверь,Центральный
72,70,Томская область,Томск,Сибирский
73,71,Тульская область,Тула,Центральный
74,72,Тюменская область,Тюмень,Уральский
75,73,Ульяновская область,Ульяновск,Приволжский
76,74,Челябинская область,Челябинск,Уральский
77,75,Забайкальский край,Чита,Сибирский
78,80,Забайкальский край,Чита,Сибирский
79,75,Читинская область,Чита,(вошла в Забайкальский край)
80,76,Ярославская область,Ярославль,Центральный
81,77,г. Москва,Москва,Центральный
82,78,г. Санкт-Петербург,Санкт-Петербург,Северо-Западный
83,79,Еврейская автономная область,Биробиджан,Дальневосточный
84,80,Агинский Бурятский автономный округ,пгт Агинское,(вошел в Забайкальский край)
85,81,Коми-Пермяцкий автономный округ,Кудымкар,(вошел в Пермский край)
86,82,Корякский автономный округ,пгт Палана,(вошел в Камчатский край)
87,83,Ненецкий автономный округ,Нарьян-Мар,Северо-Западный
88,84,Таймырский (Долгано-Ненецкий) автономный округ,Дудинка,(вошел в Красноярский край)
89,85,Усть-Ордынский Бурятский автономный округ,пгт Усть-Ордынский,(вошел в Иркутскую обл.)
90,86,Ханты-Мансийский автономный округ - Югра,Ханты-Мансийск,Уральский
91,87,Чукотский автономный округ,Анадырь,Дальневосточный
92,88,Эвенкийский автономный округ,пгт Тура,(вошел в Красноярский край)
93,89,Ямало-Ненецкий автономный округ,Салехард,Уральский
94,91,Республика Крым,Симферополь,Крымский
95,92,г.Севастополь,Севастополь,Крымский
96,95,Чеченская Республика,Грозный,Северо-Кавказский
